Profile,SNR_dB,Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
2,0,S2_Fade,VB-FQ,FADE,innovation,-0.018651,-0.030801,-2.220500,2.119911
2,0,S2_Fade,VB-FQ,FADE,abs_innovation,1.297404,1.179714,0.220777,2.559402
2,0,S2_Fade,VB-FQ,FADE,S,1.169505,1.142969,0.677765,1.685564
2,0,S2_Fade,VB-FQ,FADE,NIS,2.093457,1.245153,0.045306,5.336797
2,0,S2_Fade,VB-FQ,FADE,Ppred11,0.369759,0.361944,0.264163,0.485145
2,0,S2_Fade,VB-FQ,FADE,Ppred22,0.017802,0.017788,0.016643,0.018928
2,0,S2_Fade,VB-FQ,FADE,tracking_error,0.044642,0.004731,-1.400535,1.594606
2,0,S2_Fade,VB-FQ,POST,m_reliability,0.529973,0.540759,0.473427,0.575588
2,0,S2_Fade,VB-FQ,POST,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,POST,R_vb,0.734237,0.682157,0.502543,1.050516
2,0,S2_Fade,VB-FQ,POST,R_eff,0.734237,0.682157,0.502543,1.050516
2,0,S2_Fade,VB-FQ,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S2_Fade,VB-FQ,POST,K_delay,0.347876,0.350133,0.311000,0.381564
2,0,S2_Fade,VB-FQ,POST,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,VB-FQ,POST,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S2_Fade,VB-FQ,POST,innovation,0.009485,-0.041016,-0.947368,1.038185
2,0,S2_Fade,VB-FQ,POST,abs_innovation,0.622477,0.480744,0.089112,1.381697
2,0,S2_Fade,VB-FQ,POST,S,1.114470,1.048277,0.812121,1.522269
2,0,S2_Fade,VB-FQ,POST,NIS,0.606453,0.215241,0.007651,1.774017
2,0,S2_Fade,VB-FQ,POST,Ppred11,0.380234,0.366758,0.307669,0.474117
2,0,S2_Fade,VB-FQ,POST,Ppred22,0.018027,0.017928,0.017231,0.018980
2,0,S2_Fade,VB-FQ,POST,tracking_error,-0.005854,0.012561,-0.868331,0.858877
2,0,S2_Fade,E-FQ,PRE,m_reliability,0.875425,0.957122,0.537640,1.000000
2,0,S2_Fade,E-FQ,PRE,rho_raw,0.524351,0.536502,0.443744,0.587005
2,0,S2_Fade,E-FQ,PRE,rho_relative,0.873026,0.976680,0.543220,1.000000
2,0,S2_Fade,E-FQ,PRE,Lambda,1.101960,1.007742,1.000000,1.305149
2,0,S2_Fade,E-FQ,PRE,R_vb,0.394807,0.398084,0.138714,0.609411
2,0,S2_Fade,E-FQ,PRE,R_eff,0.440718,0.427938,0.143012,0.719190
2,0,S2_Fade,E-FQ,PRE,R_eff_R_vb,1.101960,1.007742,1.000000,1.305149
2,0,S2_Fade,E-FQ,PRE,K_delay,0.437648,0.400882,0.328132,0.597793
2,0,S2_Fade,E-FQ,PRE,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,E-FQ,PRE,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S2_Fade,E-FQ,PRE,innovation,0.010088,-0.034321,-1.028102,1.218719
2,0,S2_Fade,E-FQ,PRE,abs_innovation,0.685560,0.511586,0.093930,1.603100
2,0,S2_Fade,E-FQ,PRE,S,0.783035,0.733552,0.427086,1.139154
2,0,S2_Fade,E-FQ,PRE,NIS,1.115636,0.361921,0.012864,3.424812
2,0,S2_Fade,E-FQ,PRE,Ppred11,0.342318,0.288562,0.205940,0.413151
