Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,E-VB-only,NORMAL,m_reliability,0.818154,0.844948,0.749784,0.866320
S2_Fade,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,NORMAL,R_vb,0.143991,0.143286,0.111187,0.174552
S2_Fade,E-VB-only,NORMAL,R_eff,0.143991,0.143286,0.111187,0.174552
S2_Fade,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,NORMAL,K_delay,0.924067,0.929483,0.890393,0.952705
S2_Fade,E-VB-only,NORMAL,Q11,1.441259,1.441048,0.754947,2.134844
S2_Fade,E-VB-only,NORMAL,Q22,0.060080,0.051381,0.022457,0.114703
S2_Fade,E-VB-only,NORMAL,tracking_error,0.179273,0.173070,-0.657362,1.011768
S2_Fade,E-VB-only,PRE,m_reliability,0.841761,0.846782,0.818224,0.866513
S2_Fade,E-VB-only,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,PRE,R_vb,0.141179,0.141950,0.108702,0.174924
S2_Fade,E-VB-only,PRE,R_eff,0.141179,0.141950,0.108702,0.174924
S2_Fade,E-VB-only,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,PRE,K_delay,0.918964,0.926176,0.877087,0.952831
S2_Fade,E-VB-only,PRE,Q11,1.255296,1.250360,0.457770,2.047396
S2_Fade,E-VB-only,PRE,Q22,0.094240,0.093448,0.054162,0.141154
S2_Fade,E-VB-only,PRE,tracking_error,0.184673,0.168418,-0.626088,0.990081
S2_Fade,E-VB-only,FADE,m_reliability,0.669237,0.694958,0.487313,0.810204
S2_Fade,E-VB-only,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,FADE,R_vb,0.147279,0.145108,0.115484,0.179132
S2_Fade,E-VB-only,FADE,R_eff,0.147279,0.145108,0.115484,0.179132
S2_Fade,E-VB-only,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,FADE,K_delay,0.935188,0.940446,0.912280,0.953196
S2_Fade,E-VB-only,FADE,Q11,1.757393,1.667034,1.022170,2.390757
S2_Fade,E-VB-only,FADE,Q22,0.059943,0.059415,0.038071,0.080696
S2_Fade,E-VB-only,FADE,tracking_error,0.153696,0.098684,-0.822405,1.178280
S2_Fade,E-VB-only,POST,m_reliability,0.846053,0.849729,0.831700,0.866851
S2_Fade,E-VB-only,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,POST,R_vb,0.145152,0.143412,0.115615,0.173871
S2_Fade,E-VB-only,POST,R_eff,0.145152,0.143412,0.115615,0.173871
S2_Fade,E-VB-only,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,E-VB-only,POST,K_delay,0.924574,0.929092,0.893477,0.952456
S2_Fade,E-VB-only,POST,Q11,1.487431,1.446133,0.890745,2.115503
S2_Fade,E-VB-only,POST,Q22,0.033619,0.031106,0.019706,0.053219
S2_Fade,E-VB-only,POST,tracking_error,0.183021,0.211548,-0.628771,1.003117
S2_Fade,E-CAL,NORMAL,rho_raw,0.823396,0.838584,0.731494,0.891886
S2_Fade,E-CAL,NORMAL,rho_relative,0.952168,0.994208,0.837299,1.000000
S2_Fade,E-CAL,NORMAL,m_reliability,0.951853,0.991145,0.845577,1.000000
S2_Fade,E-CAL,NORMAL,Lambda,1.121339,1.012756,1.000000,1.242367
S2_Fade,E-CAL,NORMAL,R_vb,0.236825,0.258015,0.134919,0.330787
S2_Fade,E-CAL,NORMAL,R_eff,0.266194,0.267305,0.141843,0.385728
S2_Fade,E-CAL,NORMAL,R_eff_R_vb,1.121339,1.012756,1.000000,1.242367
S2_Fade,E-CAL,NORMAL,K_delay,0.848499,0.845785,0.756441,0.933413
S2_Fade,E-CAL,NORMAL,Q11,1.033724,0.999502,0.477703,1.584779
S2_Fade,E-CAL,NORMAL,Q22,0.052322,0.039529,0.013365,0.114070
S2_Fade,E-CAL,NORMAL,tracking_error,0.184756,0.177020,-0.539902,0.924365
S2_Fade,E-CAL,PRE,rho_raw,0.844074,0.839654,0.799528,0.893345
S2_Fade,E-CAL,PRE,rho_relative,0.958537,0.991010,0.842503,1.000000
