Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S3_Warp_Fade,C,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,POST,R_vb,0.278703,0.243221,0.052026,0.558163
S3_Warp_Fade,C,POST,R_eff,0.278703,0.243221,0.052026,0.558163
S3_Warp_Fade,C,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,POST,K_delay,0.731098,0.720599,0.582969,0.900141
S3_Warp_Fade,C,POST,Q11,0.400628,0.398391,0.313944,0.488738
S3_Warp_Fade,C,POST,Q22,0.001607,0.001599,0.001355,0.001864
S3_Warp_Fade,C,POST,tracking_error,-0.395965,-0.395561,-0.899502,0.105357
S3_Warp_Fade,E,NORMAL,m_reliability,0.835452,0.866164,0.735917,0.889636
S3_Warp_Fade,E,NORMAL,Lambda,1.495437,1.324263,1.257004,1.816322
S3_Warp_Fade,E,NORMAL,R_vb,0.928807,0.829162,0.436812,1.700833
S3_Warp_Fade,E,NORMAL,R_eff,1.412629,1.231871,0.571460,2.488632
S3_Warp_Fade,E,NORMAL,R_eff_R_vb,1.495437,1.324263,1.257004,1.816322
S3_Warp_Fade,E,NORMAL,K_delay,0.316495,0.281458,0.232198,0.438286
S3_Warp_Fade,E,NORMAL,Q11,0.086169,0.046994,0.020322,0.215214
S3_Warp_Fade,E,NORMAL,Q22,0.005110,0.000710,0.000100,0.018576
S3_Warp_Fade,E,NORMAL,tracking_error,-2.308738,-2.329804,-2.608400,-2.043960
S3_Warp_Fade,E,PRE,m_reliability,0.850039,0.868688,0.836424,0.890540
S3_Warp_Fade,E,PRE,Lambda,1.429924,1.316775,1.254518,1.417444
S3_Warp_Fade,E,PRE,R_vb,1.432062,1.360859,0.976175,2.007856
S3_Warp_Fade,E,PRE,R_eff,2.074041,1.823182,1.301544,2.908694
S3_Warp_Fade,E,PRE,R_eff_R_vb,1.429924,1.316775,1.254518,1.417444
S3_Warp_Fade,E,PRE,K_delay,0.413923,0.406323,0.351398,0.483190
S3_Warp_Fade,E,PRE,Q11,0.172271,0.160077,0.087369,0.276323
S3_Warp_Fade,E,PRE,Q22,0.012987,0.008827,0.002640,0.029953
S3_Warp_Fade,E,PRE,tracking_error,-2.328146,-2.393539,-2.706585,-2.030486
S3_Warp_Fade,E,FADE,m_reliability,0.693009,0.721958,0.516313,0.822299
S3_Warp_Fade,E,FADE,Lambda,2.226868,1.884622,1.465148,3.559225
S3_Warp_Fade,E,FADE,R_vb,0.871489,0.870740,0.780659,0.957253
S3_Warp_Fade,E,FADE,R_eff,1.942589,1.643356,1.221239,3.109354
S3_Warp_Fade,E,FADE,R_eff_R_vb,2.226868,1.884622,1.465148,3.559225
S3_Warp_Fade,E,FADE,K_delay,0.273611,0.287912,0.199339,0.328679
S3_Warp_Fade,E,FADE,Q11,0.056768,0.055509,0.037796,0.077286
S3_Warp_Fade,E,FADE,Q22,0.001162,0.001077,0.000634,0.001801
S3_Warp_Fade,E,FADE,tracking_error,-2.317359,-2.310057,-2.598401,-2.058374
S3_Warp_Fade,E,POST,m_reliability,0.868341,0.869817,0.846594,0.891854
S3_Warp_Fade,E,POST,Lambda,1.319271,1.313448,1.250913,1.384513
S3_Warp_Fade,E,POST,R_vb,0.556138,0.527608,0.400538,0.760566
S3_Warp_Fade,E,POST,R_eff,0.734994,0.693100,0.524366,1.016746
