Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,E,FADE,Q22,0.011809,0.010487,0.005953,0.019260
S2_Fade,E,FADE,abs_innovation,0.768444,0.674860,0.177173,1.480752
S2_Fade,E,FADE,NIS,0.328336,0.183060,0.011178,0.881958
S2_Fade,E,FADE,directional_consistency,0.216662,0.182073,0.038061,0.389720
S2_Fade,E,FADE,coherent_fraction,0.057949,0.025134,0.001027,0.111139
S2_Fade,E,FADE,tracking_error,0.190724,0.187788,-0.238223,0.616167
S2_Fade,E,POST,R_vb,0.645091,0.630791,0.563037,0.746459
S2_Fade,E,POST,R_eff,0.886326,0.864281,0.769032,1.032059
S2_Fade,E,POST,R_eff_R_vb,1.373539,1.369551,1.321186,1.428068
S2_Fade,E,POST,K_delay,0.392561,0.386296,0.346507,0.446818
S2_Fade,E,POST,Q11,0.122399,0.111840,0.083950,0.171980
S2_Fade,E,POST,Q22,0.002294,0.001701,0.000787,0.004616
S2_Fade,E,POST,abs_innovation,0.714839,0.558099,0.338596,1.389797
S2_Fade,E,POST,NIS,0.467573,0.217242,0.079605,1.353961
S2_Fade,E,POST,directional_consistency,0.213503,0.212274,0.124239,0.303016
S2_Fade,E,POST,coherent_fraction,0.040555,0.035961,0.011198,0.072241
S2_Fade,E,POST,tracking_error,0.143099,0.147574,-0.165834,0.442931
S2_Fade,EQ0,NORMAL,R_vb,0.231791,0.242485,0.126027,0.335446
S2_Fade,EQ0,NORMAL,R_eff,0.261721,0.258252,0.130793,0.389841
S2_Fade,EQ0,NORMAL,R_eff_R_vb,1.125386,1.015527,1.000000,1.246385
S2_Fade,EQ0,NORMAL,K_delay,0.852029,0.855131,0.758627,0.936998
S2_Fade,EQ0,NORMAL,Q11,1.071613,1.007117,0.475036,1.749725
S2_Fade,EQ0,NORMAL,Q22,0.053665,0.039611,0.012813,0.116491
S2_Fade,EQ0,NORMAL,abs_innovation,1.051999,1.099621,0.363935,2.014052
S2_Fade,EQ0,NORMAL,NIS,0.862891,0.493831,0.073492,2.164435
S2_Fade,EQ0,NORMAL,directional_consistency,0.167567,0.163077,0.040267,0.298944
S2_Fade,EQ0,NORMAL,coherent_fraction,0.031174,0.020725,0.001282,0.071716
S2_Fade,EQ0,NORMAL,tracking_error,0.213837,0.220718,-0.512498,0.945202
S2_Fade,EQ0,PRE,R_vb,0.145355,0.148241,0.109754,0.186450
S2_Fade,EQ0,PRE,R_eff,0.150670,0.152293,0.110915,0.194261
S2_Fade,EQ0,PRE,R_eff_R_vb,1.034463,1.011509,1.000000,1.064957
S2_Fade,EQ0,PRE,K_delay,0.913737,0.920894,0.870336,0.948020
S2_Fade,EQ0,PRE,Q11,1.208174,1.195966,0.469013,1.932689
S2_Fade,EQ0,PRE,Q22,0.094494,0.094693,0.050732,0.138992
S2_Fade,EQ0,PRE,abs_innovation,1.184114,1.231007,0.401982,2.121564
S2_Fade,EQ0,PRE,NIS,1.121451,0.739375,0.078992,2.642203
S2_Fade,EQ0,PRE,directional_consistency,0.158122,0.122451,0.041553,0.296211
S2_Fade,EQ0,PRE,coherent_fraction,0.029360,0.012326,0.001380,0.071716
S2_Fade,EQ0,PRE,tracking_error,0.197382,0.175064,-0.598070,1.017729
S2_Fade,EQ0,FADE,R_vb,0.235193,0.223849,0.149532,0.333955
S2_Fade,EQ0,FADE,R_eff,0.404859,0.356942,0.173315,0.708518
S2_Fade,EQ0,FADE,R_eff_R_vb,1.696783,1.437186,1.075340,2.755276
S2_Fade,EQ0,FADE,K_delay,0.846688,0.850210,0.760174,0.925704
S2_Fade,EQ0,FADE,Q11,1.431843,1.369511,0.817795,2.111130
S2_Fade,EQ0,FADE,Q22,0.053324,0.052423,0.030942,0.077149
S2_Fade,EQ0,FADE,abs_innovation,1.127613,1.099984,0.268604,2.123499
S2_Fade,EQ0,FADE,NIS,0.678034,0.465660,0.028325,1.724248
S2_Fade,EQ0,FADE,directional_consistency,0.165450,0.144312,0.028448,0.325735
S2_Fade,EQ0,FADE,coherent_fraction,0.031801,0.016422,0.000606,0.078975
S2_Fade,EQ0,FADE,tracking_error,0.200212,0.208647,-0.587555,1.001048
S2_Fade,EQ0,POST,R_vb,0.297798,0.292096,0.243792,0.368652
S2_Fade,EQ0,POST,R_eff,0.303459,0.297147,0.246922,0.376587
S2_Fade,EQ0,POST,R_eff_R_vb,1.018599,1.010581,1.000000,1.051037
S2_Fade,EQ0,POST,K_delay,0.805809,0.812332,0.730656,0.864400
S2_Fade,EQ0,POST,Q11,0.853865,0.828825,0.444284,1.288292
S2_Fade,EQ0,POST,Q22,0.022093,0.019879,0.010616,0.037096
S2_Fade,EQ0,POST,abs_innovation,0.926029,0.660081,0.358546,1.537506
S2_Fade,EQ0,POST,NIS,0.719655,0.304962,0.079870,1.794625
S2_Fade,EQ0,POST,directional_consistency,0.174901,0.185526,0.043896,0.296702
S2_Fade,EQ0,POST,coherent_fraction,0.032262,0.027942,0.001517,0.070371
S2_Fade,EQ0,POST,tracking_error,0.230831,0.252685,-0.425366,0.862181
S2_Fade,EQ1,NORMAL,R_vb,0.411519,0.429108,0.273409,0.526436
S2_Fade,EQ1,NORMAL,R_eff,0.461635,0.442096,0.274850,0.606979
S2_Fade,EQ1,NORMAL,R_eff_R_vb,1.105493,1.008446,1.000000,1.189668
S2_Fade,EQ1,NORMAL,K_delay,0.407918,0.392071,0.364590,0.452627
S2_Fade,EQ1,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ1,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
S2_Fade,EQ1,NORMAL,abs_innovation,0.743984,0.578930,0.327278,1.415422
S2_Fade,EQ1,NORMAL,NIS,1.031989,0.469808,0.145764,2.786371
S2_Fade,EQ1,NORMAL,directional_consistency,0.222269,0.216923,0.109007,0.325848
S2_Fade,EQ1,NORMAL,coherent_fraction,0.046432,0.037906,0.008489,0.082180
S2_Fade,EQ1,NORMAL,tracking_error,0.151019,0.154148,-0.168738,0.459761
S2_Fade,EQ1,PRE,R_vb,0.308655,0.327554,0.201773,0.395118
S2_Fade,EQ1,PRE,R_eff,0.311619,0.331342,0.202228,0.400962
S2_Fade,EQ1,PRE,R_eff_R_vb,1.008757,1.004956,1.000000,1.023364
S2_Fade,EQ1,PRE,K_delay,0.465655,0.423795,0.399563,0.581384
S2_Fade,EQ1,PRE,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ1,PRE,Q22,0.002000,0.002000,0.002000,0.002000
S2_Fade,EQ1,PRE,abs_innovation,0.758363,0.576494,0.331754,1.420949
S2_Fade,EQ1,PRE,NIS,1.336998,0.583209,0.179320,3.447287
S2_Fade,EQ1,PRE,directional_consistency,0.233178,0.222917,0.123389,0.338674
S2_Fade,EQ1,PRE,coherent_fraction,0.049517,0.040664,0.011193,0.086921
S2_Fade,EQ1,PRE,tracking_error,0.173596,0.168204,-0.177636,0.515388
S2_Fade,EQ1,FADE,R_vb,0.466137,0.452103,0.368807,0.584892
S2_Fade,EQ1,FADE,R_eff,0.779277,0.668196,0.421967,1.290351
