ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,175,33,PRE,0.969643574204503,-6.85300916355558,-5.14547650000452,-0.748719372883602
P1,175,34,PRE,0.969643574204503,-5.50647823073904,-5.2600231005866,0.712358160515009
P1,175,35,PRE,0.982788329423646,-7.27078465570871,-5.37543790021999,-0.936533464821268
P1,175,36,PRE,0.982788329423646,-6.4609926680897,-5.49171963235251,-0.0104597450697339
P1,175,37,PRE,0.998879762627811,-6.62867062626722,-5.6088670098644,-0.0609903257353608
P1,175,38,PRE,0.984607372878132,-6.90456841909435,-5.72687872511368,-0.218876403313215
P1,175,39,PRE,0.963998596322446,-6.9892162439864,-5.84575344997207,-0.184649503346876
P1,175,40,PRE,0.950364127487497,-7.5235663595736,-5.96548983585432,-0.599263233051821
P1,175,41,PRE,0.937192504628539,-8.30110997267674,-6.08608651371689,-1.2562101682924
P1,175,42,PRE,0.959224711982819,-6.89914778208423,-6.20754209416319,0.267207602746413
P1,175,43,PRE,0.990057999594811,-6.95541765817496,-6.32985516737694,0.333250799869438
P1,175,44,PRE,0.960640194467357,-8.70102670108064,-6.45302430321948,-1.2891891071937
P1,175,45,PRE,0.952717813704561,-7.76662156064412,-6.57704805130432,-0.230760218672344
P1,175,46,FADE,0.958863443661406,-7.97134223101727,-6.70192494092792,-0.310603999421895
P1,175,47,FADE,0.937450292733071,-8.06951961167666,-6.82765348117087,-0.283052839838334
P1,175,48,FADE,0.902262586689904,-8.69453298031984,-6.95423216093527,-0.781487528717118
P1,175,49,FADE,0.885522950918066,-6.99777437329908,-7.08165944892603,1.0426983662944
P1,175,50,FADE,0.860510655618552,-9.15602072250882,-7.20993379378676,-0.987273638054605
P1,175,51,FADE,0.781695877037731,-7.4862324516176,-7.33905362400122,0.811634463051078
P1,175,52,FADE,0.719202570473674,-9.21896081298821,-7.4690173480878,-0.791130174232951
P1,175,53,FADE,0.640785089289654,-9.90121441638166,-7.59982335448495,-1.34257777122926
P1,175,54,FADE,0.551507119711116,-8.60861821450951,-7.73147001170305,0.0816650878609853
P1,175,55,FADE,0.560007010559325,-8.82115657105747,-7.86395566830045,0.00161238791043239
P1,175,56,FADE,0.59784257038938,-9.6337957407196,-7.99727865293143,-0.677703797120722
P1,175,57,FADE,0.639162288697363,-9.74725549712818,-8.13143727441812,-0.657004932042604
P1,175,58,FADE,0.731099927451688,-9.12088869795597,-8.26642982175052,0.104354414462
P1,175,59,FADE,0.796182371364598,-9.00646111675669,-8.40225456416377,0.354606738074532
P1,175,60,FADE,0.824824194182378,-11.2409031716398,-8.53890975116478,-1.74318012980756
P1,175,61,FADE,0.872117251961521,-10.232225127689,-8.67639361251094,-0.597018224510609
P1,175,62,FADE,0.918368536715952,-10.7679897749739,-8.81470435839393,-0.994472125912468
P1,175,63,FADE,0.946591126084118,-9.53129408404261,-8.95384017932521,0.381359385950056
P1,175,64,POST,0.945972671843985,-10.9154242562869,-9.09379924629583,-0.862811719323588
P1,175,65,POST,0.950077514012173,-9.82644666955651,-9.23457971077912,0.366946331890066
P1,175,66,POST,0.990287187114586,-9.66741734160424,-9.37617970475202,0.667575653815234
