Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid,Wilson_Lower,Wilson_Upper
Profile P3: Tx100m / 45km / Rx110m,0,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-14,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-13,E-FQ,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P3: Tx100m / 45km / Rx110m,-12,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-11,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-10,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-9,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-8,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-7,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-6,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-5,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-4,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-3,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-2,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,-1,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P3: Tx100m / 45km / Rx110m,0,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
